scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
A_contraction,hybrid-101,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-101,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-101,reflex_off,motor_energy_demand,30,0,[],-0.0002825980515182017,-0.0003953241344985861,-0.00018839589487189932,completed
A_contraction,hybrid-101,reflex_off,escape_drive_integral,30,0,[],-0.018986405839522675,-0.026330483098328115,-0.012428960569451263,completed
A_contraction,hybrid-202,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-202,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-202,reflex_off,motor_energy_demand,30,0,[],-0.00030123008433977826,-0.00040574182797844133,-0.0002095544778679808,completed
A_contraction,hybrid-202,reflex_off,escape_drive_integral,30,0,[],-0.020338743766148845,-0.02725680250500636,-0.01401967196638382,completed
A_contraction,hybrid-303,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-303,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,hybrid-303,reflex_off,motor_energy_demand,30,0,[],-1.1060071825980585e-05,-2.5357658189533767e-05,-6.123469273244346e-07,completed
A_contraction,hybrid-303,reflex_off,escape_drive_integral,30,0,[],-0.0007400747140248705,-0.0016512705902258582,-5.225749810537176e-05,completed
B_food,connectome,tonic_off,food,30,0,[],-0.29685435591874293,-0.431498347257067,-0.16882998614151506,completed
B_food,connectome,tonic_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_food,connectome,tonic_off,motor_energy_demand,30,0,[],-0.002267569852613692,-0.0023298195028742287,-0.00220699494092011,completed
B_food,connectome,tonic_off,escape_drive_integral,30,0,[],0.0,0.0,0.0,completed
B_food,feedforward-101,chemical_off,food,30,0,[],-0.24291564693053508,-0.37535766852274427,-0.11613490689297475,completed
B_food,feedforward-101,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_food,feedforward-101,chemical_off,motor_energy_demand,30,0,[],0.004170764581166831,0.0034390117759944437,0.0049138473818740045,completed
B_food,feedforward-101,chemical_off,escape_drive_integral,30,0,[],0.0930136257627358,0.06590419571944511,0.12373539895567422,completed
B_food,feedforward-202,chemical_off,food,30,0,[],-0.008944669748345731,-0.025717434659599567,0.0,completed
B_food,feedforward-202,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
B_food,feedforward-202,chemical_off,motor_energy_demand,30,0,[],-0.0005517287498659394,-0.0007268760046073837,-0.0002846978319296085,completed
B_food,feedforward-202,chemical_off,escape_drive_integral,30,0,[],-0.020209236336561565,-0.025896069236968976,-0.011326472515189884,completed
B_food,feedforward-303,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
