scenario,controller,ablation,environment_units,completed,status_counts_completed,response_fraction,preactivated_fraction,food_mean,food_ci95_low,food_ci95_high,food_defined_units,collision_substeps_mean,collision_substeps_ci95_low,collision_substeps_ci95_high,collision_substeps_defined_units,motor_energy_demand_mean,motor_energy_demand_ci95_low,motor_energy_demand_ci95_high,motor_energy_demand_defined_units,final_simulated_energy_mean,final_simulated_energy_ci95_low,final_simulated_energy_ci95_high,final_simulated_energy_defined_units,escape_drive_integral_mean,escape_drive_integral_ci95_low,escape_drive_integral_ci95_high,escape_drive_integral_defined_units,inference_mean_ms_mean,inference_mean_ms_ci95_low,inference_mean_ms_ci95_high,inference_mean_ms_defined_units,reaction_seconds_mean,reaction_seconds_ci95_low,reaction_seconds_ci95_high,reaction_seconds_defined_units,recovery_seconds_mean,recovery_seconds_ci95_low,recovery_seconds_ci95_high,recovery_seconds_defined_units
A_expansion,hybrid-303,none,30,30,30,0.0,1.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.03634400862632195,0.03631406800079246,0.0363757299623554,30,0.8136559913736782,0.8136238459713288,0.8136843013826319,30,1.8536719077626864,1.8511631146689258,1.8564977533727884,30,0.25641756734694354,0.238732604196169,0.27688167358816523,30,,,,0,,,,0
A_expansion,hybrid-303,reflex_off,30,30,30,0.0,1.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.036195009692688775,0.03617191868943422,0.03621841139475257,30,0.8138049903073111,0.8137806966342148,0.8138292159609795,30,1.843726810157299,1.842941796874503,1.8445100836982329,30,0.11899981889291666,0.11804872154971235,0.12006380598371227,30,,,,0,,,,0
A_expansion,random,none,30,30,30,0.9666666666666667,0.43333333333333335,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.020743716957269738,0.020377344488844724,0.02109317318992873,30,0.8292562830427302,0.82889315962328,0.8295765369028927,30,0.9822953728867707,0.9597130186562574,1.0071833932230432,30,0.017591941150991868,0.01630828931520227,0.019430596442543902,30,0.057241379310344835,0.03931034482758621,0.07793103448275863,29,,,,0
A_expansion,recurrent-101,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.016893103844414156,0.01688025276903858,0.016907550029344364,30,0.8331068961555858,0.8330924089175998,0.8331197834266261,30,0.7991474314232668,0.7984679909591873,0.7998602231070401,30,0.1604117769165896,0.14896557550576595,0.1796671079212198,30,,,,0,,,,0
A_expansion,recurrent-202,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.012529889045019947,0.01252200828953336,0.012537349763869245,30,0.8374701109549803,0.8374622245340329,0.8374781412179517,30,0.2953718011577923,0.2950393619092802,0.29566633631065486,30,0.14900879446455897,0.14591539249110308,0.1524437101126144,30,,,,0,,,,0
A_expansion,recurrent-303,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.012134492634937167,0.01207495826695189,0.012187504349633681,30,0.8378655073650626,0.8378138608792748,0.8379258377754404,30,0.26966404699782526,0.2670569752627363,0.2720005410986643,30,0.20171735253340253,0.18318391292583935,0.22911544293553257,30,,,,0,,,,0
A_expansion,rule,none,30,30,30,0.2,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.005939999999999997,0.005709999999999996,0.006179999999999996,30,0.8440599999999941,0.8438099999999942,0.8442899999999941,30,0.022666666666666665,0.007333333333333333,0.04066666666666666,30,0.019832218657635774,0.018284035945301487,0.02166855553247539,30,0.91,0.7566666666666667,1.0799999999999998,6,,,,0
A_expansion,untrained,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.00858042311777516,0.008580057037874936,0.008580811324054338,30,0.841419576882225,0.841419205010991,0.8414199412556794,30,0.23845100975533326,0.23843578141741456,0.23846641424410045,30,0.32573415371007286,0.3067823807602205,0.34431549919512083,30,,,,0,,,,0
A_static,connectome,none,30,30,30,0.9666666666666667,0.06666666666666667,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.015356224503674765,0.01345963175593116,0.017246386848527157,30,0.8346437754963255,0.83280008186144,0.8364602544888662,30,0.8305692860581709,0.7085404539350558,0.9599418600254056,30,60.76056384344702,56.50115236950793,65.48256883158223,30,0.2717241379310345,0.17103448275862068,0.3889827586206896,29,,,,0
A_static,connectome,output_disconnect,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0028799384056635135,0.0028442215180999697,0.0029172550691529907,30,0.8471200615943367,0.8470825655557664,0.847153804654072,30,0.0,0.0,0.0,30,96.524293247329,89.0154259070611,104.08810665182342,30,,,,0,,,,0
A_static,connectome,readout_clamp,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0020000000000000005,0.0020000000000000005,0.0020000000000000005,30,0.8480000000000092,0.8480000000000092,0.8480000000000092,30,0.0,0.0,0.0,30,77.57226436666679,69.56849771688091,86.69251364009129,30,,,,0,,,,0
A_static,connectome,vision_off,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0028799384056635135,0.0028442377093669834,0.002916712219012543,30,0.8471200615943367,0.8470813247998505,0.8471542634494434,30,0.0,0.0,0.0,30,73.30626208083898,65.38757871462634,82.5441907220976,30,,,,0,,,,0
A_static,feedforward-101,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.00801859015346567,0.008005608130057903,0.008031948188514758,30,0.8419814098465341,0.8419690905313476,0.8419942809814639,30,0.1405070031384627,0.1399853454249601,0.14104483881133295,30,0.10980865352515441,0.10324873276428359,0.11883921670887503,30,,,,0,,,,0
A_static,feedforward-202,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.00846664097031951,0.00846195940794858,0.008470970577268425,30,0.8415333590296808,0.8415289129856064,0.8415379952413689,30,0.15196929600834846,0.15180328801050785,0.1521276308833311,30,0.11125982898132254,0.11054340560876881,0.11207816952640617,30,,,,0,,,,0
A_static,feedforward-303,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.004393385984843597,0.004391250400189962,0.004395568950569645,30,0.8456066140151564,0.8456044967262661,0.8456088040971512,30,0.034462001375233135,0.034329024974411974,0.03458804944138974,30,0.12161966367663506,0.12059678896791107,0.12274139267998786,30,,,,0,,,,0
A_static,hybrid-101,none,30,30,30,1.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.020763573154886562,0.020594213043002286,0.020950876256171615,30,0.8292364268451133,0.8290600532233828,0.8294063543004123,30,0.9324064898093543,0.9208782764645914,0.9448416558419663,30,0.15504393264806518,0.1545243140855746,0.15561837580680732,30,0.568,0.43333333333333335,0.7066999999999998,30,,,,0
A_static,hybrid-101,reflex_off,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.01938231723136703,0.019301256279518952,0.01945813061387216,30,0.8306176827686328,0.8305424103010396,0.8307020318490248,30,0.839983675589164,0.8348962927773592,0.8444958495624363,30,0.11795998987508938,0.1172425231775075,0.1186872019529498,30,,,,0,,,,0
A_static,hybrid-202,none,30,30,30,1.0,0.16666666666666666,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.02607689563080668,0.025879342431017506,0.026284763016107177,30,0.8239231043691934,0.8237110150066687,0.8241252018462404,30,1.1508106602728367,1.1376364071503282,1.1655097562608618,30,0.3459713620056088,0.3162900899333181,0.3890624842296044,30,0.49799999999999994,0.36798333333333333,0.6266999999999997,30,,,,0
