controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_expansion,90030,0,completed,100,2.0,5.22829054101021,0.0,0,0.027563015864876448,0.8224369841351237,1.6273628929131974,51.71635788909043,0.04,,responded,not_applicable,0.0,False,449609728,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90001,0,completed,100,2.0,5.188652041004389,0.0,0,0.005794645041879444,0.8442053549581202,0.19999852373023339,51.31524207055918,0.72,,responded,not_applicable,0.0,False,449642496,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90002,0,completed,100,2.0,5.151004707993707,0.0,0,0.012651124587268216,0.8373488754127324,0.6512981682312711,50.943214968719985,0.5,,responded,not_applicable,0.0,False,449593344,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90003,0,completed,100,2.0,5.2750237500004005,0.0,0,0.023686504639951634,0.8263134953600487,1.3806291936784454,52.185019129683496,,,no_response,not_applicable,0.8360110608863073,True,449609728,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90004,0,completed,100,2.0,5.404865165997762,0.0,0,0.009274826824439806,0.8407251731755608,0.43277749647237296,53.451358300080756,1.32,,responded,not_applicable,0.0,False,449642496,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90005,0,completed,100,2.0,5.239123499995912,0.0,0,0.01125778436233974,0.8387422156376602,0.5561202318813149,51.791904569690814,0.0,,responded,not_applicable,0.03686653615476586,False,449658880,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90006,0,completed,100,2.0,5.109012832996086,0.0,0,0.007623716816024516,0.8423762831839764,0.31891365038609754,50.56750794959953,0.22,,responded,not_applicable,0.0,False,449675264,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90007,0,completed,100,2.0,4.952261458005523,0.0,0,0.014340502273085611,0.8356594977269142,0.7630835191858885,49.02622251000139,0.16,,responded,not_applicable,0.0,False,449708032,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90008,0,completed,100,2.0,4.97236787500151,0.0,0,0.019924918382675513,0.830075081617324,1.1419062523863377,49.22474577848334,0.18,,responded,not_applicable,0.0,False,449757184,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90009,0,completed,100,2.0,4.89999458300008,0.0,0,0.02006797762843603,0.8299320223715628,1.1453200373945394,48.52104288031114,0.16,,responded,not_applicable,0.0,False,449773568,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90010,0,completed,100,2.0,5.144836499996018,0.0,0,0.01899296368862258,0.8310070363113774,1.077348451728962,50.920144619303755,0.22,,responded,not_applicable,0.0,False,449806336,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90011,0,completed,100,2.0,5.7516261669952655,0.0,0,0.01927250428759269,0.8307274957124072,1.1051284814229607,56.90335205028532,0.5,,responded,not_applicable,0.0,False,449003520,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90012,0,completed,100,2.0,5.825815124990186,0.0,0,0.014892568485425074,0.8351074315145758,0.79548137271731,57.63262746841065,0.06,,responded,not_applicable,0.0,False,449642496,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90013,0,completed,100,2.0,5.585424000004423,0.0,0,0.016442420288162406,0.8335575797118387,0.8838488044172735,55.26788915944053,0.28,,responded,not_applicable,0.0,False,449642496,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90014,0,completed,100,2.0,5.501860082993517,0.0,0,0.00974484183498694,0.8402551581650134,0.4667138175082499,54.440417839359725,0.16,,responded,not_applicable,0.0,False,449757184,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90015,0,completed,100,2.0,5.718393041999661,0.0,0,0.01963894744997444,0.8303610525500246,1.1036801347777776,56.5806625103869,0.02,,responded,not_applicable,0.07373307230953172,False,449773568,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90016,0,completed,100,2.0,5.760422459003166,0.0,0,0.026862974048216245,0.8231370259517844,1.5904379582462898,57.03416498959996,0.0,,responded,not_applicable,0.6427038022322986,True,449806336,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90017,0,completed,100,2.0,5.6079417080036364,0.0,0,0.012413993934821156,0.8375860060651793,0.6409178931186392,55.525294200342614,0.14,,responded,not_applicable,0.0,False,449839104,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90018,0,completed,100,2.0,5.949485999997705,0.0,0,0.01408370559256272,0.8359162944074384,0.7492248505746506,58.90309544847696,0.1,,responded,not_applicable,0.03686653615476586,False,449839104,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90019,0,completed,100,2.0,5.908063375012716,0.0,0,0.013941560605736064,0.8360584393942639,0.7387814592649329,58.49244503129739,0.78,,responded,not_applicable,0.0,False,449724416,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90020,0,completed,100,2.0,6.050108375013224,0.0,0,0.022669649905214195,0.827330350094787,1.319575125861756,59.90321293022134,0.1,,responded,not_applicable,0.0,False,449511424,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90021,0,completed,100,2.0,5.9371857500082115,0.0,0,0.008375608027817236,0.8416243919721828,0.36279685956730356,58.78552377020242,0.5,,responded,not_applicable,0.0,False,449544192,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90022,0,completed,100,2.0,6.230182165993028,0.0,0,0.012098780933316391,0.837901219066684,0.6125089959027007,61.62419750005938,0.4,,responded,not_applicable,0.0,False,449544192,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90023,0,completed,100,2.0,6.858937708006124,0.0,0,0.015222780483229682,0.8347772195167705,0.8215165379555799,67.86092755093705,0.02,,responded,not_applicable,0.2559618907937189,False,449478656,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90024,0,completed,100,2.0,7.720459332995233,0.0,0,0.023622451961698945,0.8263775480383017,1.379686212603643,76.42139203933766,0.02,,responded,not_applicable,0.27243299844769364,False,449298432,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_static,90025,0,completed,100,2.0,6.5494222920096945,0.0,0,0.010746599127734653,0.8392534008722653,0.5348163174047826,64.7894474498753,0.02,,responded,not_applicable,0.03686653615476586,False,449380352,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
